time,coin,dir,px,sz,ntl,fee,closedPnl
2025/11/10 15:06:06,XRP,Open Short,2.479,105,260.295,0.112447,-0.112447
2025/11/10 15:18:03,ETH,Open Long,3617.1,0.2425,877.14675,0.378927,-0.378927
2025/11/10 15:21:04,HYPE,Close Short,42.821,11.41,488.58761,0.211069,-2.0708990000000003
2025/11/10 15:42:00,XRP,Close Short,2.4886,105,261.303,0.112882,-1.120882
2025/11/10 15:45:06,XRP,Open Long,2.4862,129,320.7198,0.13855,-0.13855
2025/11/10 16:18:01,ETH,Close Long,3602.9341443299,0.2425,873.7115300000007,0.377441,-3.8126610000000003
2025/11/10 16:18:04,XRP,Close Long,2.4763,129,319.4427,0.137999,-1.4150989999999999
2025/11/10 16:21:04,ETH,Open Short,3603.4,0.4379,1577.92886,0.681665,-0.681665
2025/11/10 17:45:58,ETH,Close Short,3621.3,0.4379,1585.76727,0.68505,-8.52346
2025/11/10 17:57:04,ETH,Open Long,3623.8,0.4226,1531.41788,0.661572,-0.661572
2025/11/10 18:27:04,ETH,Close Long,3618.4,0.4226,1529.13584,0.660586,-2.9426259999999997
2025/11/10 18:33:02,ETH,Open Long,3610.5,0.419,1512.7994999999999,0.653529,-0.653529
2025/11/10 19:03:13,ETH,Close Long,3607.5,0.419,1511.5425,0.652986,-1.909986
2025/11/10 19:06:05,HYPE,Open Short,42.166,5.68,239.50287999999998,0.103464,-0.103464
2025/11/10 19:45:05,HYPE,Close Short,42.409,5.68,240.88312,0.104061,-1.4843009999999999
2025/11/10 19:48:00,ETH,Open Long,3621.1,0.0829,300.18919,0.129681,-0.129681
2025/11/10 19:57:04,ETH,Close Long,3609.1,0.0829,299.19439,0.129251,-1.1240510000000001
2025/11/10 20:03:04,ETH,Open Short,3605.1,0.4123,1486.38273,0.642117,-0.642117
2025/11/10 21:29:57,ETH,Close Short,3607.4,0.4123,1487.33102,0.642527,-1.590817
2025/11/10 21:36:03,ETH,Open Long,3617.4341020608,0.4076,1474.466139999982,0.636968,-0.636968
2025/11/10 22:36:01,ETH,Close Long,3592.9266928361,0.4076,1464.4769199999944,0.63265,-10.620198
