time,coin,dir,px,sz,ntl,fee,closedPnl
2025/11/16 08:01:33,ETH,Open Long,3169.3,0.075,237.6975,0.102685,-0.102685
2025/11/16 08:07:15,DOGE,Close Long,0.16263,74,12.03462,0.005198,-0.049598
2025/11/16 08:13:15,ETH,Close Long,3159.7,0.075,236.97749999999996,0.102374,-0.8223739999999999
2025/11/16 08:19:17,ETH,Open Long,3154.6,0.0793,250.15977999999998,0.108069,-0.108069
2025/11/16 08:22:16,ETH,Close Long,3150.6,0.0793,249.84257999999997,0.107931,-0.425131
2025/11/16 08:34:24,SOL,Open Long,138.67,1.81,250.99269999999999,0.108428,-0.108428
2025/11/16 08:52:17,BTC,Close Short,95513,0.00523,499.53299000000004,0.215798,0.36996199999999996
2025/11/16 08:52:19,SOL,Close Long,139.56,1.81,252.6036,0.109124,1.501776
2025/11/16 08:55:17,BTC,Open Short,95562,0.01202,1148.65524,0.496219,-0.496219
2025/11/16 09:04:21,ETH,Open Long,3138.4,0.0302,94.77968000000001,0.040944,-0.040944
2025/11/16 09:10:14,ETH,Close Long,3151.4,0.0302,95.17228,0.041114,0.351486
2025/11/16 10:49:29,ETH,Open Short,3197.8,0.0224,71.63072,0.030944,-0.030944
2025/11/16 10:52:20,BTC,Close Short,95796,0.01202,1151.46792,0.497434,-3.310114
2025/11/16 11:10:16,ETH,Close Short,3194.8,0.0224,71.56352,0.030915,0.036285
2025/11/16 11:13:24,SOL,Open Short,140.33,1.47,206.28510000000003,0.089115,-0.089115
2025/11/16 11:19:22,SOL,Close Short,141.1,1.47,207.417,0.089604,-1.221504
2025/11/16 11:34:22,BTC,Open Short,95798,0.01176,1126.58448,0.486684,-0.486684
2025/11/16 11:49:22,BTC,Close Short,95760.8137755102,0.01176,1126.14717,0.486494,-0.049184000000000005
2025/11/16 12:04:24,BTC,Open Short,95739,0.004,382.956,0.165436,-0.165436
2025/11/16 12:28:25,XRP,Open Short,2.2462,75,168.465,0.072776,-0.072776
2025/11/16 12:28:30,ETH,Open Short,3197.9,0.0874,279.49646,0.120742,-0.120742
2025/11/16 12:34:14,XRP,Close Short,2.2409,75,168.0675,0.072605,0.32489500000000004
2025/11/16 12:46:19,BTC,Close Short,95696,0.004,382.784,0.165362,0.006637999999999977
2025/11/16 12:52:22,XRP,Open Short,2.2425,114,255.645,0.110438,-0.110438
